feature_id,feature_name,vt_index,orig_index,orig_col
0,core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0,0,core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis
1,core__flair__wavelet-LLH_glcm_MCC,1,1,core__flair__wavelet-LLH_glcm_MCC
2,core__t1__wavelet-LHL_firstorder_Skewness,2,2,core__t1__wavelet-LHL_firstorder_Skewness
3,core__t1ce__wavelet-LLL_firstorder_10Percentile,3,3,core__t1ce__wavelet-LLL_firstorder_10Percentile
4,core__t2__wavelet-HHL_glcm_Correlation,4,4,core__t2__wavelet-HHL_glcm_Correlation
5,core__flair__original_glszm_SmallAreaLowGrayLevelEmphasis,5,5,core__flair__original_glszm_SmallAreaLowGrayLevelEmphasis
6,core__t1ce__wavelet-LHL_firstorder_Skewness,6,6,core__t1ce__wavelet-LHL_firstorder_Skewness
7,core__t2__wavelet-HLL_firstorder_Median,7,7,core__t2__wavelet-HLL_firstorder_Median
8,core__t1__wavelet-HLL_glrlm_RunEntropy,8,8,core__t1__wavelet-HLL_glrlm_RunEntropy
9,core__t1ce__wavelet-LLL_firstorder_RootMeanSquared,9,9,core__t1ce__wavelet-LLL_firstorder_RootMeanSquared
10,core__t1ce__wavelet-LLH_firstorder_Skewness,10,10,core__t1ce__wavelet-LLH_firstorder_Skewness
11,core__t2__wavelet-LLH_firstorder_Median,11,11,core__t2__wavelet-LLH_firstorder_Median
12,core__t2__wavelet-LLH_glcm_MaximumProbability,12,12,core__t2__wavelet-LLH_glcm_MaximumProbability
13,core__t1ce__wavelet-LHH_firstorder_Skewness,13,13,core__t1ce__wavelet-LHH_firstorder_Skewness
14,core__t1__wavelet-LHL_glszm_SmallAreaEmphasis,14,14,core__t1__wavelet-LHL_glszm_SmallAreaEmphasis
15,core__t1ce__wavelet-LHH_glszm_SmallAreaEmphasis,15,15,core__t1ce__wavelet-LHH_glszm_SmallAreaEmphasis
16,core__t1__wavelet-LHL_firstorder_Median,16,16,core__t1__wavelet-LHL_firstorder_Median
